====>> Read file list
70000
70000
===> Loading datasets
===> Building model
===> Setting GPU
=> no checkpoint found at 'ckp/model_epoch_100.pth'
===> Setting Optimizer
===> Training
Current lr 0.0001
Epoch=1, lr=0.0001
Epoch:[2/150][5800/5833]	Time: 0.925 (1.316)	Data: 0.005 (0.005)	Loss: 29.463 (22.831)	PNSR: 20.797 (21.931)
Checkpoint saved to ckp/model_epoch_2.pth
Current lr 0.0001
Epoch=3, lr=0.0001
Epoch:[3/150][0/5833]	Time: 22.488 (22.488)	Data: 19.398 (19.398)	Loss: 17.743 (17.743)	PNSR: 23.365 (23.365)
Epoch:[3/150][100/5833]	Time: 0.799 (1.611)	Data: 0.000 (0.194)	Loss: 20.920 (21.753)	PNSR: 22.497 (22.242)
Epoch:[3/150][200/5833]	Time: 1.487 (1.440)	Data: 0.000 (0.098)	Loss: 30.499 (22.170)	PNSR: 21.663 (22.144)
Epoch:[3/150][300/5833]	Time: 1.498 (1.379)	Data: 0.000 (0.065)	Loss: 13.598 (22.489)	PNSR: 24.398 (22.084)
Epoch:[3/150][400/5833]	Time: 1.341 (1.357)	Data: 0.000 (0.049)	Loss: 29.698 (22.536)	PNSR: 19.645 (22.067)
Epoch:[3/150][500/5833]	Time: 1.752 (1.342)	Data: 0.000 (0.039)	Loss: 19.205 (22.394)	PNSR: 21.673 (22.109)
Epoch:[3/150][600/5833]	Time: 1.632 (1.329)	Data: 0.000 (0.033)	Loss: 22.202 (22.164)	PNSR: 21.790 (22.189)
Epoch:[3/150][700/5833]	Time: 1.000 (1.321)	Data: 0.000 (0.028)	Loss: 21.089 (22.076)	PNSR: 21.117 (22.214)
Epoch:[3/150][800/5833]	Time: 1.110 (1.313)	Data: 0.000 (0.025)	Loss: 41.770 (22.046)	PNSR: 18.458 (22.229)
Epoch:[3/150][900/5833]	Time: 1.340 (1.309)	Data: 0.000 (0.022)	Loss: 20.652 (22.077)	PNSR: 21.436 (22.212)
Epoch:[3/150][1000/5833]	Time: 0.998 (1.305)	Data: 0.000 (0.020)	Loss: 22.742 (21.983)	PNSR: 21.369 (22.251)
Epoch:[3/150][1100/5833]	Time: 1.173 (1.299)	Data: 0.000 (0.018)	Loss: 26.064 (21.916)	PNSR: 20.810 (22.278)
Epoch:[3/150][1200/5833]	Time: 1.646 (1.296)	Data: 0.000 (0.017)	Loss: 25.354 (21.885)	PNSR: 20.539 (22.295)
Epoch:[3/150][1300/5833]	Time: 1.787 (1.295)	Data: 0.017 (0.016)	Loss: 23.585 (21.860)	PNSR: 20.699 (22.300)
Epoch:[3/150][1400/5833]	Time: 1.506 (1.292)	Data: 0.001 (0.014)	Loss: 21.440 (21.820)	PNSR: 22.521 (22.314)
Epoch:[3/150][1500/5833]	Time: 1.113 (1.290)	Data: 0.000 (0.014)	Loss: 25.928 (21.770)	PNSR: 22.493 (22.340)
Epoch:[3/150][1600/5833]	Time: 1.147 (1.288)	Data: 0.000 (0.013)	Loss: 31.708 (21.836)	PNSR: 22.099 (22.319)
Epoch:[3/150][1700/5833]	Time: 1.334 (1.286)	Data: 0.000 (0.012)	Loss: 14.628 (21.836)	PNSR: 24.609 (22.320)
Epoch:[3/150][1800/5833]	Time: 1.093 (1.285)	Data: 0.000 (0.011)	Loss: 22.758 (21.840)	PNSR: 22.143 (22.318)
Epoch:[3/150][1900/5833]	Time: 0.935 (1.284)	Data: 0.000 (0.011)	Loss: 24.918 (21.870)	PNSR: 21.398 (22.307)
